,x,y,z
0,-0.1866,0.14659,0.7014
1,-0.18684,0.14667,0.70259
2,-0.18684,0.14667,0.70259
3,-0.18703,0.14706,0.70341
4,-0.18688,0.14643,0.70271
5,-0.18684,0.14667,0.70259
6,-0.18633,0.14617,0.70129
7,-0.18664,0.14634,0.70149
8,-0.18633,0.14617,0.70129
9,-0.18611,0.14652,0.70038
10,-0.1866,0.14685,0.70202
11,-0.18612,0.14661,0.70012
12,-0.18529,0.14631,0.69763
13,-0.1859,0.14654,0.699
14,-0.18609,0.14692,0.69982
15,-0.1859,0.14654,0.699
16,-0.1859,0.14654,0.699
17,-0.1859,0.14654,0.699
18,-0.18611,0.14652,0.70038
19,-0.18529,0.14631,0.69763
20,-0.1859,0.14654,0.699
21,-0.18612,0.14683,0.69949
22,-0.18529,0.14631,0.69763
23,-0.18584,0.14658,0.69906
24,-0.18645,0.1468,0.70043
25,-0.1859,0.14654,0.699
26,-0.1859,0.14654,0.699
27,-0.1859,0.14654,0.699
28,-0.1859,0.14654,0.699
29,-0.1859,0.14654,0.699
30,-0.1859,0.14654,0.699
31,-0.1859,0.14654,0.699
32,-0.18529,0.14631,0.69763
33,-0.1859,0.14654,0.699
34,-0.1859,0.14654,0.699
35,-0.1859,0.14654,0.699
36,-0.1859,0.14654,0.699
37,-0.1859,0.14654,0.699
38,-0.1859,0.14654,0.699
39,-0.1859,0.14654,0.699
40,-0.18621,0.14671,0.69923
41,-0.18621,0.14671,0.69923
42,-0.1859,0.14654,0.699
43,-0.18612,0.14683,0.69949
44,-0.18621,0.14671,0.69923
45,-0.1859,0.14654,0.699
46,-0.18594,0.14645,0.69871
47,-0.1859,0.14654,0.699
48,-0.18621,0.14671,0.69923
49,-0.1859,0.14654,0.699
50,-0.1859,0.14654,0.699
51,-0.18679,0.14691,0.70048
52,-0.18609,0.14692,0.69982
53,-0.1867,0.14714,0.70119
54,-0.18678,0.14716,0.70103
55,-0.18621,0.14671,0.69923
56,-0.1859,0.14654,0.699
57,-0.18609,0.14692,0.69982
58,-0.1867,0.14714,0.70119
59,-0.18676,0.14733,0.70159
60,-0.1865,0.14675,0.70032
61,-0.18621,0.14671,0.69923
62,-0.18618,0.14695,0.69914
63,-0.18586,0.14677,0.69887
64,-0.18623,0.14714,0.69953
