,x,y,z
0,-0.18684,0.14667,0.70259
1,-0.1868,0.14698,0.70227
2,-0.1868,0.14698,0.70227
3,-0.1866,0.14659,0.7014
4,-0.1866,0.14659,0.7014
5,-0.1866,0.14659,0.7014
6,-0.1868,0.14698,0.70227
7,-0.18629,0.14641,0.70115
8,-0.18585,0.14661,0.69926
9,-0.1859,0.14654,0.699
10,-0.18611,0.14652,0.70038
11,-0.18634,0.1466,0.70157
12,-0.18529,0.14631,0.69763
13,-0.1859,0.14654,0.699
14,-0.1859,0.14654,0.699
15,-0.18529,0.14631,0.69763
16,-0.18612,0.14661,0.70012
17,-0.1859,0.14654,0.699
18,-0.1859,0.14654,0.699
19,-0.1859,0.14654,0.699
20,-0.1859,0.14654,0.699
21,-0.18645,0.1468,0.70043
22,-0.1859,0.14654,0.699
23,-0.18621,0.14671,0.69923
24,-0.1859,0.14654,0.699
25,-0.1859,0.14654,0.699
26,-0.1859,0.14654,0.699
27,-0.1859,0.14654,0.699
28,-0.1859,0.14654,0.699
29,-0.1859,0.14654,0.699
30,-0.1859,0.14654,0.699
31,-0.1859,0.14654,0.699
32,-0.1859,0.14654,0.699
33,-0.1865,0.14675,0.70032
34,-0.18609,0.14692,0.69982
35,-0.18621,0.14671,0.69923
36,-0.1859,0.14654,0.699
37,-0.18645,0.1468,0.70043
38,-0.18621,0.14671,0.69923
39,-0.18594,0.14645,0.69871
40,-0.1859,0.14654,0.699
41,-0.18621,0.14671,0.69923
42,-0.18701,0.14731,0.7014
43,-0.18623,0.14714,0.69953
44,-0.18586,0.14677,0.69887
45,-0.18591,0.14696,0.69927
46,-0.18627,0.1469,0.69961
47,-0.18685,0.1471,0.70087
48,-0.18679,0.14691,0.70048
49,-0.18623,0.14714,0.69953
50,-0.18591,0.14696,0.69927
51,-0.18591,0.14696,0.69927
52,-0.18679,0.14691,0.70048
53,-0.18623,0.14714,0.69953
54,-0.18618,0.14721,0.69976
55,-0.18623,0.14714,0.69953
56,-0.18623,0.14714,0.69953
57,-0.18706,0.1475,0.70179
58,-0.18622,0.14688,0.69887
59,-0.18623,0.14714,0.69953
60,-0.18623,0.14714,0.69953
61,-0.18591,0.14696,0.69927
62,-0.1868,0.14739,0.70048
63,-0.18623,0.14714,0.69953
64,-0.18619,0.14744,0.69919
65,-0.18623,0.14714,0.69953
66,-0.18623,0.14714,0.69953
67,-0.18623,0.14714,0.69953
68,-0.18623,0.14714,0.69953
69,-0.18623,0.14714,0.69953
70,-0.18623,0.14714,0.69953
71,-0.18623,0.14714,0.69953
72,-0.18623,0.14714,0.69953
73,-0.18628,0.14706,0.69926
74,-0.18623,0.14714,0.69953
75,-0.18623,0.14714,0.69953
76,-0.18643,0.14753,0.70039
77,-0.18623,0.14714,0.69953
78,-0.18623,0.14714,0.69953
79,-0.18619,0.14744,0.69919
80,-0.18623,0.14714,0.69953
81,-0.18598,0.14704,0.69828
82,-0.18619,0.14744,0.69919
83,-0.18623,0.14714,0.69953
84,-0.18643,0.14753,0.70039
85,-0.18623,0.14714,0.69953
86,-0.18623,0.14714,0.69953
87,-0.18598,0.14704,0.69828
88,-0.18598,0.14704,0.69828
89,-0.18623,0.14714,0.69953
90,-0.18598,0.14704,0.69828
91,-0.18623,0.14714,0.69953
92,-0.18598,0.14704,0.69828
93,-0.18623,0.14714,0.69953
94,-0.18643,0.14753,0.70039
95,-0.18623,0.14714,0.69953
96,-0.18604,0.14698,0.69806
97,-0.18598,0.14704,0.69828
98,-0.18598,0.14704,0.69828
99,-0.18598,0.14704,0.69828
100,-0.18623,0.14714,0.69953
101,-0.18604,0.14698,0.69806
102,-0.18643,0.14753,0.70039
103,-0.18598,0.14704,0.69828
104,-0.18604,0.14698,0.69806
105,-0.18598,0.14704,0.69828
106,-0.18655,0.14724,0.69948
107,-0.18619,0.14744,0.69919
108,-0.18619,0.14744,0.69919
109,-0.18598,0.14704,0.69828
110,-0.18619,0.14744,0.69919
111,-0.18598,0.14704,0.69828
112,-0.18598,0.14704,0.69828
