,x,y,z
0,-0.01602,0.16488,0.71453
1,-0.01602,0.16488,0.71453
2,-0.01602,0.16488,0.71453
3,-0.01602,0.16488,0.71453
4,-0.01573,0.16425,0.71224
5,-0.01573,0.16425,0.71224
6,-0.01581,0.16408,0.71214
7,-0.01573,0.16425,0.71224
8,-0.0157,0.16444,0.71209
9,-0.01585,0.16398,0.71123
10,-0.01582,0.16417,0.71108
11,-0.0157,0.16444,0.71209
12,-0.0157,0.16444,0.71209
13,-0.01582,0.16417,0.71108
14,-0.01582,0.16417,0.71108
15,-0.0157,0.16444,0.71209
16,-0.0157,0.16444,0.71209
17,-0.0157,0.16444,0.71209
18,-0.01572,0.16466,0.71204
19,-0.01584,0.16441,0.71107
20,-0.01584,0.16441,0.71107
21,-0.01572,0.16466,0.71204
22,-0.01572,0.16466,0.71204
23,-0.01572,0.16466,0.71204
24,-0.01572,0.16466,0.71204
25,-0.01572,0.16466,0.71204
26,-0.01572,0.16466,0.71204
27,-0.01572,0.16466,0.71204
28,-0.01572,0.16466,0.71204
29,-0.01572,0.16466,0.71204
30,-0.01583,0.16506,0.71216
31,-0.01572,0.16466,0.71204
32,-0.0156,0.16491,0.71297
33,-0.01592,0.16461,0.71133
34,-0.01592,0.16461,0.71133
35,-0.01592,0.16461,0.71133
36,-0.01592,0.16461,0.71133
37,-0.01592,0.16461,0.71133
38,-0.01592,0.16461,0.71133
39,-0.0158,0.16486,0.71227
40,-0.0158,0.16486,0.71227
41,-0.01592,0.16461,0.71133
42,-0.01592,0.16461,0.71133
43,-0.01583,0.16506,0.71216
44,-0.01594,0.16483,0.71127
45,-0.01583,0.16506,0.71216
46,-0.01583,0.16506,0.71216
47,-0.01587,0.16498,0.71133
48,-0.01583,0.16506,0.71216
49,-0.01602,0.16609,0.71448
50,-0.01608,0.16571,0.71444
51,-0.01583,0.16506,0.71216
52,-0.01584,0.16518,0.71119
53,-0.01602,0.16609,0.71448
54,-0.01602,0.16609,0.71448
55,-0.01575,0.16524,0.7123
56,-0.0158,0.16528,0.71207
57,-0.01572,0.16544,0.71217
58,-0.01572,0.16544,0.71217
59,-0.01584,0.16518,0.71119
60,-0.01572,0.16544,0.71217
61,-0.01584,0.16518,0.71119
62,-0.01592,0.16538,0.71146
63,-0.01592,0.16538,0.71146
64,-0.01584,0.16518,0.71119
65,-0.01588,0.16545,0.71222
66,-0.01572,0.16544,0.71217
67,-0.01572,0.16544,0.71217
68,-0.01572,0.16544,0.71217
69,-0.01572,0.16544,0.71217
70,-0.01572,0.16544,0.71217
71,-0.01572,0.16544,0.71217
72,-0.01572,0.16544,0.71217
73,-0.01592,0.16538,0.71146
74,-0.01572,0.16544,0.71217
75,-0.01572,0.16544,0.71217
76,-0.01572,0.16544,0.71217
77,-0.01592,0.16538,0.71146
78,-0.01592,0.16538,0.71146
79,-0.01592,0.16538,0.71146
80,-0.01572,0.16544,0.71217
81,-0.01592,0.16538,0.71146
82,-0.01592,0.16538,0.71146
83,-0.01592,0.16538,0.71146
84,-0.01592,0.16538,0.71146
85,-0.01572,0.16544,0.71217
86,-0.01592,0.16538,0.71146
87,-0.01592,0.16538,0.71146
88,-0.01592,0.16538,0.71146
89,-0.01592,0.16538,0.71146
90,-0.01592,0.16538,0.71146
91,-0.0159,0.16559,0.71135
92,-0.01592,0.16538,0.71146
93,-0.01592,0.16538,0.71146
94,-0.01578,0.16584,0.71229
95,-0.01592,0.16538,0.71146
96,-0.01592,0.16538,0.71146
97,-0.0162,0.16626,0.7137
98,-0.0162,0.16626,0.7137
99,-0.0159,0.16559,0.71135
100,-0.0162,0.16626,0.7137
101,-0.01592,0.16538,0.71146
102,-0.0159,0.16559,0.71135
103,-0.01592,0.16538,0.71146
104,-0.01592,0.16538,0.71146
105,-0.0162,0.16626,0.7137
106,-0.0162,0.16626,0.7137
107,-0.0162,0.16626,0.7137
108,-0.01592,0.16538,0.71146
109,-0.0159,0.16559,0.71135
110,-0.0159,0.16559,0.71135
111,-0.0159,0.16559,0.71135
112,-0.01612,0.16639,0.71371
113,-0.0159,0.16559,0.71135
114,-0.0159,0.16559,0.71135
115,-0.0162,0.16626,0.7137
116,-0.0162,0.16626,0.7137
117,-0.0159,0.16559,0.71135
118,-0.0159,0.16559,0.71135
119,-0.0159,0.16559,0.71135
120,-0.0159,0.16559,0.71135
121,-0.01578,0.16584,0.71229
122,-0.0162,0.16626,0.7137
123,-0.01582,0.16571,0.71132
124,-0.0159,0.16559,0.71135
125,-0.0159,0.16559,0.71135
126,-0.0159,0.16559,0.71135
127,-0.0159,0.16559,0.71135
128,-0.0159,0.16559,0.71135
129,-0.0159,0.16559,0.71135
130,-0.0159,0.16559,0.71135
131,-0.01582,0.16571,0.71132
132,-0.01582,0.16571,0.71132
133,-0.0159,0.16559,0.71135
