,x,y,z
0,-0.01277,0.16543,0.71588
1,-0.01303,0.16626,0.71807
2,-0.01303,0.16626,0.71807
3,-0.01275,0.16563,0.71577
4,-0.01284,0.16525,0.71576
5,-0.01277,0.16543,0.71588
6,-0.01275,0.16563,0.71577
7,-0.01327,0.16566,0.71556
8,-0.01327,0.16566,0.71556
9,-0.01299,0.16506,0.71335
10,-0.01301,0.16526,0.71323
11,-0.01277,0.16518,0.71239
12,-0.01277,0.16518,0.71239
13,-0.0132,0.1652,0.71248
14,-0.01277,0.16518,0.71239
15,-0.0132,0.1652,0.71248
16,-0.0132,0.1652,0.71248
17,-0.01297,0.16511,0.71159
18,-0.0128,0.16594,0.71379
19,-0.01297,0.16511,0.71159
20,-0.0128,0.16594,0.71379
21,-0.01277,0.16518,0.71239
22,-0.01277,0.16518,0.71239
23,-0.01297,0.1662,0.71476
24,-0.01297,0.1662,0.71476
25,-0.01316,0.16558,0.71252
26,-0.01277,0.16518,0.71239
27,-0.01316,0.16558,0.71252
28,-0.01316,0.16558,0.71252
29,-0.01322,0.16647,0.71541
30,-0.01298,0.1664,0.7146
31,-0.01316,0.16558,0.71252
32,-0.01316,0.16558,0.71252
33,-0.01298,0.1664,0.7146
34,-0.01298,0.1664,0.7146
35,-0.01298,0.1664,0.7146
36,-0.01298,0.1664,0.7146
37,-0.01298,0.1664,0.7146
38,-0.01293,0.16584,0.71317
39,-0.01298,0.1664,0.7146
