,x,y,z
0,-0.04191,0.24817,1.08388
1,-0.04191,0.24817,1.08388
2,-0.04191,0.24817,1.08388
3,-0.04191,0.24817,1.08388
4,-0.04191,0.24817,1.08388
5,-0.04191,0.24817,1.08388
6,-0.04191,0.24817,1.08388
7,-0.04191,0.24817,1.08388
8,-0.04191,0.24817,1.08388
9,-0.04188,0.24853,1.08405
10,-0.04188,0.24853,1.08405
11,-0.04188,0.24853,1.08405
12,-0.04188,0.24853,1.08405
13,-0.04188,0.24853,1.08405
14,-0.04188,0.24853,1.08405
15,-0.04188,0.24853,1.08405
16,-0.04192,0.24873,1.08383
17,-0.04192,0.24873,1.08383
18,-0.04188,0.24914,1.0844
19,-0.04188,0.24914,1.0844
20,-0.04139,0.24829,1.07959
21,-0.04137,0.24804,1.07988
22,-0.04139,0.24829,1.07959
23,-0.0419,0.24935,1.084
24,-0.0419,0.24935,1.084
25,-0.04139,0.24829,1.07959
26,-0.04139,0.24829,1.07959
27,-0.04139,0.24829,1.07959
28,-0.04139,0.24829,1.07959
29,-0.0419,0.24935,1.084
30,-0.0419,0.24935,1.084
31,-0.0416,0.24752,1.07665
32,-0.04139,0.24829,1.07959
33,-0.04208,0.24894,1.08123
34,-0.04157,0.24787,1.0768
35,-0.04157,0.24787,1.0768
36,-0.04157,0.24787,1.0768
37,-0.04154,0.24822,1.07715
38,-0.04154,0.24822,1.07715
39,-0.04202,0.24966,1.0818
40,-0.04202,0.24966,1.0818
41,-0.04202,0.24966,1.0818
42,-0.04202,0.24966,1.0818
43,-0.04202,0.24966,1.0818
44,-0.04202,0.24966,1.0818
45,-0.04202,0.24966,1.0818
46,-0.04202,0.24966,1.0818
47,-0.04202,0.24966,1.0818
48,-0.04202,0.24966,1.0818
49,-0.04202,0.24966,1.0818
50,-0.04205,0.24991,1.08154
51,-0.04188,0.25032,1.08452
52,-0.04202,0.24966,1.0818
53,-0.04188,0.25032,1.08452
54,-0.04205,0.24991,1.08154
55,-0.04205,0.24991,1.08154
56,-0.04205,0.24991,1.08154
57,-0.04205,0.24991,1.08154
58,-0.0419,0.25054,1.08411
59,-0.04205,0.24991,1.08154
60,-0.0419,0.25054,1.08411
61,-0.0419,0.25054,1.08411
62,-0.04205,0.24991,1.08154
63,-0.0419,0.25054,1.08411
64,-0.04205,0.24991,1.08154
65,-0.04205,0.24991,1.08154
66,-0.04205,0.24991,1.08154
67,-0.04205,0.24991,1.08154
68,-0.04205,0.24991,1.08154
69,-0.0419,0.25054,1.08411
70,-0.04254,0.25138,1.0862
71,-0.0419,0.25054,1.08411
72,-0.0419,0.25054,1.08411
73,-0.04205,0.24991,1.08154
74,-0.04188,0.2509,1.08428
75,-0.0419,0.25054,1.08411
76,-0.04188,0.2509,1.08428
77,-0.04139,0.24947,1.0797
78,-0.04202,0.25026,1.08164
79,-0.04202,0.25026,1.08164
80,-0.04188,0.2509,1.08428
81,-0.04188,0.2509,1.08428
82,-0.04188,0.2509,1.08428
83,-0.04188,0.2509,1.08428
84,-0.04188,0.2509,1.08428
85,-0.04188,0.2509,1.08428
86,-0.04202,0.25026,1.08164
87,-0.04188,0.2509,1.08428
88,-0.04188,0.2509,1.08428
89,-0.04202,0.25026,1.08164
90,-0.04188,0.2509,1.08428
91,-0.04188,0.2509,1.08428
92,-0.04188,0.2509,1.08428
93,-0.04188,0.2509,1.08428
94,-0.04188,0.2509,1.08428
95,-0.04188,0.2509,1.08428
96,-0.04188,0.2509,1.08428
97,-0.04188,0.2509,1.08428
98,-0.04188,0.2509,1.08428
99,-0.04188,0.2509,1.08428
100,-0.04188,0.2509,1.08428
101,-0.04188,0.2509,1.08428
102,-0.04188,0.2509,1.08428
103,-0.04188,0.2509,1.08428
104,-0.04188,0.2509,1.08428
105,-0.04188,0.2509,1.08428
106,-0.04188,0.2509,1.08428
107,-0.04188,0.2509,1.08428
108,-0.04188,0.2509,1.08428
109,-0.04188,0.2509,1.08428
110,-0.04188,0.2509,1.08428
111,-0.04188,0.2509,1.08428
112,-0.04188,0.2509,1.08428
113,-0.04188,0.2509,1.08428
114,-0.04188,0.2509,1.08428
115,-0.04188,0.2509,1.08428
116,-0.04188,0.2509,1.08428
117,-0.04188,0.2509,1.08428
118,-0.04188,0.2509,1.08428
119,-0.04188,0.2509,1.08428
120,-0.04188,0.2509,1.08428
121,-0.04188,0.2509,1.08428
122,-0.04188,0.2509,1.08428
123,-0.04188,0.2509,1.08428
124,-0.04188,0.2509,1.08428
125,-0.04188,0.2509,1.08428
126,-0.04188,0.2509,1.08428
127,-0.04188,0.2509,1.08428
128,-0.04188,0.2509,1.08428
