,x,y,z
0,-0.00391,0.12612,0.69555
1,-0.00391,0.12612,0.69555
2,-0.00427,0.12549,0.6926
3,-0.00391,0.12612,0.69555
4,-0.00409,0.12553,0.69361
5,-0.00391,0.12612,0.69555
6,-0.00375,0.12589,0.69442
7,-0.00391,0.12612,0.69555
8,-0.00375,0.12589,0.69442
9,-0.0041,0.12608,0.69453
10,-0.0043,0.12568,0.69254
11,-0.0043,0.12568,0.69254
12,-0.0043,0.12568,0.69254
13,-0.00413,0.12582,0.69143
14,-0.00391,0.12605,0.69239
15,-0.0041,0.12601,0.69139
16,-0.0041,0.12601,0.69139
17,-0.0041,0.12601,0.69139
18,-0.00426,0.12624,0.6925
19,-0.00393,0.12661,0.69349
20,-0.00426,0.12624,0.6925
21,-0.0041,0.12601,0.69139
22,-0.00413,0.1262,0.69148
23,-0.0041,0.12601,0.69139
24,-0.00469,0.12624,0.69251
25,-0.00486,0.12647,0.69364
26,-0.00486,0.12647,0.69364
27,-0.00486,0.12647,0.69364
28,-0.00483,0.12666,0.69357
29,-0.00486,0.12647,0.69364
30,-0.00486,0.12647,0.69364
31,-0.00486,0.12647,0.69364
32,-0.00486,0.12647,0.69364
33,-0.00483,0.12666,0.69357
34,-0.00486,0.12647,0.69364
35,-0.00483,0.12666,0.69357
36,-0.00486,0.12647,0.69364
37,-0.00486,0.12647,0.69364
38,-0.00483,0.12666,0.69357
39,-0.00483,0.12666,0.69357
40,-0.00483,0.12666,0.69357
41,-0.00483,0.12666,0.69357
42,-0.00483,0.12666,0.69357
43,-0.00483,0.12666,0.69357
44,-0.00485,0.12684,0.6935
45,-0.00465,0.12726,0.6955
46,-0.00445,0.12665,0.69354
47,-0.00465,0.12726,0.6955
48,-0.00485,0.12684,0.6935
49,-0.00465,0.12726,0.6955
50,-0.00465,0.12726,0.6955
51,-0.00465,0.12726,0.6955
52,-0.00442,0.12684,0.69345
53,-0.00445,0.12665,0.69354
54,-0.00462,0.12643,0.69149
55,-0.00485,0.12684,0.6935
56,-0.00462,0.12643,0.69149
57,-0.00502,0.12707,0.69461
58,-0.00489,0.12703,0.6936
59,-0.00502,0.12707,0.69461
60,-0.00465,0.12726,0.6955
61,-0.00502,0.12707,0.69461
62,-0.00469,0.12745,0.69562
63,-0.00502,0.12707,0.69461
64,-0.00446,0.12658,0.69059
65,-0.00485,0.12723,0.69371
66,-0.00482,0.12703,0.69359
67,-0.00469,0.12661,0.69237
68,-0.00485,0.12723,0.69371
69,-0.00482,0.12703,0.69359
70,-0.00469,0.12699,0.69258
71,-0.00485,0.12723,0.69371
72,-0.00482,0.12703,0.69359
73,-0.00463,0.12681,0.6917
74,-0.00469,0.12699,0.69258
75,-0.00463,0.12681,0.6917
76,-0.00485,0.12723,0.69371
77,-0.00485,0.12723,0.69371
78,-0.00463,0.12681,0.6917
79,-0.00485,0.12723,0.69371
80,-0.00485,0.12723,0.69371
81,-0.00485,0.12723,0.69371
82,-0.00463,0.12681,0.6917
83,-0.00463,0.12681,0.6917
84,-0.00485,0.12723,0.69371
85,-0.00446,0.12658,0.69059
86,-0.00452,0.12759,0.69452
87,-0.00469,0.12699,0.69258
88,-0.00446,0.12658,0.69059
89,-0.00463,0.12681,0.6917
90,-0.00485,0.12723,0.69371
91,-0.00485,0.12723,0.69371
92,-0.00465,0.12801,0.69558
93,-0.00463,0.12681,0.6917
94,-0.00463,0.12681,0.6917
95,-0.00465,0.12801,0.69558
96,-0.00466,0.12718,0.69252
97,-0.00465,0.12801,0.69558
98,-0.00465,0.12801,0.69558
99,-0.00463,0.12681,0.6917
100,-0.00445,0.12741,0.69361
101,-0.00445,0.12741,0.69361
102,-0.00465,0.12801,0.69558
103,-0.00446,0.12658,0.69059
104,-0.00445,0.12741,0.69361
105,-0.00445,0.12741,0.69361
106,-0.00449,0.12778,0.69447
107,-0.00465,0.12801,0.69558
108,-0.00445,0.12741,0.69361
109,-0.00425,0.12736,0.6926
110,-0.00465,0.12801,0.69558
111,-0.00445,0.12797,0.69455
112,-0.00465,0.12756,0.69256
113,-0.00465,0.127,0.69163
114,-0.00445,0.12741,0.69361
115,-0.00429,0.12756,0.69271
116,-0.00445,0.12797,0.69455
117,-0.00465,0.127,0.69163
118,-0.00445,0.12797,0.69455
119,-0.00445,0.12741,0.69361
120,-0.00469,0.12821,0.6957
121,-0.00425,0.12736,0.6926
122,-0.00445,0.12696,0.69062
123,-0.00485,0.1276,0.69358
124,-0.00485,0.1276,0.69358
125,-0.00489,0.12779,0.69368
126,-0.00469,0.12821,0.6957
127,-0.00445,0.12797,0.69455
128,-0.00465,0.12801,0.69558
129,-0.00445,0.12797,0.69455
130,-0.00465,0.127,0.69163
131,-0.00469,0.12719,0.69174
132,-0.00465,0.12783,0.69485
133,-0.00445,0.12741,0.69361
134,-0.00425,0.12736,0.6926
135,-0.00469,0.12774,0.69266
136,-0.00469,0.12774,0.69266
137,-0.00425,0.12736,0.6926
138,-0.00469,0.12774,0.69266
139,-0.00469,0.12774,0.69266
140,-0.00445,0.12696,0.69062
141,-0.00469,0.12774,0.69266
142,-0.00469,0.12774,0.69266
143,-0.00449,0.12816,0.69467
144,-0.00425,0.12736,0.6926
145,-0.00446,0.12733,0.69066
146,-0.00449,0.12715,0.69072
147,-0.00449,0.12715,0.69072
148,-0.00469,0.12774,0.69266
149,-0.00445,0.12696,0.69062
150,-0.00449,0.12715,0.69072
151,-0.00449,0.12715,0.69072
152,-0.00449,0.12715,0.69072
153,-0.00469,0.12774,0.69266
154,-0.00469,0.12774,0.69266
