,x,y,z
0,0.00075,0.29716,1.06675
1,0.00101,0.29545,1.06074
2,0.00101,0.29545,1.06074
3,0.00101,0.29545,1.06074
4,0.00101,0.29545,1.06074
5,0.00101,0.29545,1.06074
6,0.0007,0.29325,1.053
7,0.00072,0.2938,1.05392
8,0.00045,0.29549,1.05985
9,0.00072,0.2938,1.05392
10,0.00041,0.29269,1.04804
11,0.00047,0.29343,1.05076
12,0.00044,0.29281,1.04952
13,0.00045,0.2934,1.04962
14,0.00041,0.29269,1.04804
15,0.00102,0.29652,1.0549
16,0.00102,0.29652,1.0549
17,0.00045,0.2934,1.04962
18,0.00102,0.29652,1.0549
19,0.00045,0.2934,1.04962
20,0.00102,0.29652,1.0549
21,0.00045,0.2934,1.04962
22,0.00045,0.2934,1.04962
23,0.00045,0.2934,1.04962
24,0.00045,0.2934,1.04962
25,0.00102,0.29652,1.0549
26,0.00018,0.29506,1.05543
27,0.00018,0.29506,1.05543
28,0.00018,0.29506,1.05543
29,0.00046,0.29717,1.06178
30,0.00046,0.29609,1.05999
31,0.00046,0.29717,1.06178
32,0.00046,0.29717,1.06178
33,0.00105,0.29722,1.06196
34,0.001,0.29752,1.0556
35,0.001,0.29752,1.0556
36,0.001,0.29752,1.0556
37,0.001,0.29752,1.0556
38,0.00073,0.29501,1.05423
39,0.00107,0.29776,1.06278
40,0.00104,0.29704,1.05476
41,0.001,0.29752,1.0556
42,0.00107,0.29776,1.06278
43,0.001,0.29752,1.0556
44,0.00105,0.29722,1.06196
45,0.00075,0.29555,1.05508
46,0.00107,0.29776,1.06278
47,0.00107,0.29776,1.06278
48,0.00075,0.29555,1.05508
49,0.00045,0.29455,1.04975
50,0.00045,0.29455,1.04975
51,0.00047,0.29451,1.05053
52,0.00075,0.29555,1.05508
53,0.00075,0.29555,1.05508
54,0.00047,0.29451,1.05053
55,0.00045,0.29455,1.04975
56,0.00045,0.29455,1.04975
57,0.00045,0.29455,1.04975
58,0.00045,0.29455,1.04975
59,0.00045,0.29455,1.04975
60,0.00047,0.29508,1.05056
61,0.00045,0.29455,1.04975
62,0.00045,0.29455,1.04975
63,0.00047,0.29508,1.05056
64,0.00047,0.29508,1.05056
65,0.00045,0.29455,1.04975
66,0.00073,0.29557,1.05421
67,0.00045,0.29455,1.04975
68,0.00045,0.29455,1.04975
69,0.00047,0.29508,1.05056
70,0.00047,0.29508,1.05056
71,0.00045,0.29455,1.04975
72,0.00047,0.29508,1.05056
73,0.00047,0.29508,1.05056
74,0.00047,0.29508,1.05056
75,0.00047,0.29508,1.05056
76,0.00047,0.29508,1.05056
77,0.00075,0.2961,1.05505
78,0.00047,0.29508,1.05056
79,0.00047,0.29508,1.05056
80,0.00045,0.29455,1.04975
81,0.00047,0.29508,1.05056
82,0.00047,0.29508,1.05056
83,0.00047,0.29508,1.05056
84,0.00047,0.29508,1.05056
85,0.00047,0.29508,1.05056
86,0.00075,0.2961,1.05505
87,0.00044,0.295,1.04926
88,0.00047,0.29508,1.05056
89,0.00047,0.29508,1.05056
90,0.00047,0.29508,1.05056
91,0.00047,0.29508,1.05056
92,0.00047,0.29508,1.05056
93,0.00071,0.29596,1.05352
94,0.00045,0.29512,1.04979
95,0.00047,0.29508,1.05056
96,0.00047,0.29508,1.05056
97,0.00047,0.29508,1.05056
98,0.00047,0.29508,1.05056
99,0.00044,0.295,1.04926
100,0.00047,0.29508,1.05056
101,0.00047,0.29508,1.05056
102,0.00047,0.29508,1.05056
103,0.0002,0.29671,1.05627
104,0.00047,0.29508,1.05056
105,0.00047,0.29508,1.05056
106,0.00047,0.29508,1.05056
107,0.00047,0.29508,1.05056
108,0.0002,0.29671,1.05627
109,0.00103,0.29807,1.05469
110,0.00103,0.29807,1.05469
111,0.00103,0.29807,1.05469
112,0.00047,0.29508,1.05056
113,0.00044,0.295,1.04926
114,0.00049,0.29888,1.06276
115,0.00015,0.2967,1.05427
116,0.00103,0.29807,1.05469
117,0.00045,0.29571,1.04988
118,0.00102,0.29882,1.05508
119,0.00047,0.29566,1.05066
120,0.00047,0.29566,1.05066
121,0.00047,0.29566,1.05066
122,0.00047,0.29566,1.05066
123,0.00047,0.29566,1.05066
124,0.00047,0.29566,1.05066
125,0.00047,0.29566,1.05066
126,0.00021,0.2973,1.05634
127,0.00047,0.29566,1.05066
128,0.00021,0.2973,1.05634
129,0.00047,0.29566,1.05066
130,0.00047,0.29566,1.05066
131,0.00047,0.29566,1.05066
132,0.00021,0.2973,1.05634
133,0.00047,0.29566,1.05066
134,0.00021,0.2973,1.05634
135,0.00047,0.29566,1.05066
136,0.00047,0.29566,1.05066
137,0.00047,0.29566,1.05066
138,0.00047,0.29566,1.05066
139,0.00021,0.2973,1.05634
140,0.00021,0.2973,1.05634
141,0.00021,0.2973,1.05634
