,pitch,yaw,roll
0,-22.092063171870223,-3.5863266424933133,-5.916992173804137
1,-21.182572502586623,-3.841224447065297,-5.915776822973189
2,-22.092063171870223,-3.5863266424933133,-5.916992173804137
3,-21.862742120805592,-3.5481414250476098,-5.778237108656509
4,-22.423378639632233,-3.653024112015008,-5.832977750791181
5,-22.423378639632233,-3.653024112015008,-5.832977750791181
6,-23.23750090133126,-3.4103148285247054,-5.8343626927620145
7,-22.423378639632233,-3.653024112015008,-5.832977750791181
8,-22.092063171870223,-3.5863266424933133,-5.916992173804137
9,-21.182572502586623,-3.841224447065297,-5.915776822973189
10,-22.092063171870223,-3.5863266424933133,-5.916992173804137
11,-22.092063171870223,-3.5863266424933133,-5.916992173804137
12,-22.10822493818128,-3.9547278130153773,-5.600277445926186
13,-21.524539836610245,-3.4835615816540524,-5.860943833733844
14,-22.654815986777976,-4.014560421818231,-5.665748990095094
15,-22.092063171870223,-3.5863266424933133,-5.916992173804137
16,-21.51976311185072,-3.7565325872324626,-5.860149317871168
17,-22.092063171870223,-3.5863266424933133,-5.916992173804137
18,-22.101520533170714,-4.241075307099064,-5.594168622014396
19,-22.654815986777976,-4.014560421818231,-5.665748990095094
20,-22.064229382709584,-3.8619929348916107,-5.9142464103473085
21,-22.064229382709584,-3.8619929348916107,-5.9142464103473085
22,-21.524539836610245,-3.4835615816540524,-5.860943833733844
23,-22.092063171870223,-3.5863266424933133,-5.916992173804137
24,-22.35796520359611,-3.5187614214144918,-5.857796617196444
25,-22.624811616909113,-4.301264821336727,-5.658429897745274
26,-19.983957393029357,-2.885783263165815,-5.873019654417865
27,-19.983957393029357,-2.885783263165815,-5.873019654417865
28,-21.55479030677995,-4.142676407624526,-5.540419348149836
29,-21.524539836610245,-3.4835615816540524,-5.860943833733844
30,-22.35796520359611,-3.5187614214144918,-5.857796617196444
31,-22.39784238339098,-3.250167459469391,-5.859710138752306
32,-23.390401159217873,-4.440187232017416,-5.608787370338176
33,-20.62343935877007,-3.715951696866939,-5.6004737767547015
34,-22.929200526692114,-3.324274975529516,-5.924252070379566
35,-21.837387303841496,-3.6357118739869323,-6.030244233084039
36,-22.403338249679848,-3.9077372090380615,-5.534332084356249
37,-22.35796520359611,-3.5187614214144918,-5.857796617196444
38,-22.69111304384333,-3.427871692629113,-6.020903980537429
39,-22.916618969827084,-3.976527096256429,-5.597095865539109
40,-22.69111304384333,-3.427871692629113,-6.020903980537429
41,-21.88541733043465,-4.00622276656258,-5.7137388399893245
42,-23.27823280525027,-3.874581566322727,-5.76275339819324
43,-22.454793516507834,-4.1109422551600865,-5.766350689684566
44,-22.749505602746893,-3.8007700744729647,-5.700861014455083
45,-23.27823280525027,-3.874581566322727,-5.76275339819324
46,-22.749505602746893,-3.8007700744729647,-5.700861014455083
47,-22.749505602746893,-3.8007700744729647,-5.700861014455083
48,-22.403338249679848,-3.9077372090380615,-5.534332084356249
49,-22.749505602746893,-3.8007700744729647,-5.700861014455083
50,-22.135865403821583,-3.3086468249461296,-5.969221740135168
51,-22.749505602746893,-3.8007700744729647,-5.700861014455083
52,-22.40534243047904,-3.721159992031682,-5.789276540957492
53,-22.011182404751935,-4.277059537333234,-5.56109603696734
54,-20.893286684698523,-3.411618196362627,-6.071001676712623
55,-21.513949392953663,-3.944806710065444,-5.796714209257818
56,-22.093233918059212,-4.0486075414658425,-5.850288109659441
57,-22.093233918059212,-4.0486075414658425,-5.850288109659441
58,-20.11365705761341,-4.119496958384154,-5.6227947593541145
59,-21.131875151797374,-3.888722723556767,-5.613611890105231
60,-19.746845156477804,-3.3794054056217,-6.080948924851074
61,-20.97871298267549,-4.292818396039705,-5.832748424897606
62,-19.75698215363201,-2.952961370781824,-6.104806602390495
63,-20.44386936944136,-3.161174658852774,-6.1379242107732805
64,-20.97871298267549,-4.292818396039705,-5.832748424897606
65,-19.190679882862923,-3.702102731324995,-5.849673711284332
66,-20.370995529490642,-3.5356480390901797,-5.826448663197113
67,-21.33004742170465,-3.573152904502475,-6.087650178824757
68,-21.33004742170465,-3.573152904502475,-6.087650178824757
69,-19.674807293885863,-3.553010461411502,-6.075296235555426
70,-18.539618981496204,-3.0679179188995334,-6.135113978945774
71,-19.72668635455426,-2.737679144001318,-6.0862674845565525
72,-19.190679882862923,-3.702102731324995,-5.849673711284332
73,-19.942251863470773,-3.9074082579849416,-5.880095720652211
74,-19.942251863470773,-3.9074082579849416,-5.880095720652211
75,-20.370995529490642,-3.5356480390901797,-5.826448663197113
76,-21.029276013499214,-3.6837889427630266,-5.871095072197943
77,-21.92048834474963,-4.338232841884626,-5.820817449744664
78,-20.019276117964807,-4.17049193198791,-5.885559749715828
79,-21.04008342166472,-3.9454619742867374,-5.874385390233626
80,-21.04008342166472,-3.9454619742867374,-5.874385390233626
81,-20.454992623271806,-3.403421822121615,-6.1479561197261035
82,-19.190679882862923,-3.702102731324995,-5.849673711284332
83,-19.75698215363201,-2.952961370781824,-6.104806602390495
84,-19.75698215363201,-2.952961370781824,-6.104806602390495
85,-20.44386936944136,-3.161174658852774,-6.1379242107732805
86,-19.75698215363201,-2.952961370781824,-6.104806602390495
