,x,y,z
0,-0.03754,0.08671,0.54176
1,-0.03754,0.08671,0.54176
2,-0.03754,0.08671,0.54176
3,-0.03754,0.08671,0.54176
4,-0.03754,0.08671,0.54176
5,-0.03762,0.08637,0.54057
6,-0.03762,0.08637,0.54057
7,-0.03762,0.08637,0.54057
8,-0.03762,0.08637,0.54057
9,-0.03762,0.08637,0.54057
10,-0.03751,0.08683,0.54138
11,-0.03751,0.08683,0.54138
12,-0.03738,0.08641,0.54041
13,-0.03759,0.08649,0.54021
14,-0.03762,0.08637,0.54057
15,-0.03741,0.08692,0.54162
16,-0.03757,0.08654,0.5401
17,-0.03727,0.08687,0.54126
18,-0.03741,0.08692,0.54162
19,-0.03741,0.08692,0.54162
20,-0.03758,0.08702,0.54152
21,-0.03741,0.08692,0.54162
22,-0.03748,0.08687,0.54127
23,-0.03767,0.08668,0.54033
24,-0.0375,0.0866,0.54046
25,-0.03759,0.08677,0.54014
26,-0.03756,0.08714,0.54117
27,-0.03752,0.08682,0.54048
28,-0.03745,0.087,0.54092
29,-0.03739,0.08704,0.54126
30,-0.03756,0.08714,0.54117
31,-0.03745,0.087,0.54092
32,-0.03756,0.08714,0.54117
33,-0.03765,0.08681,0.53999
34,-0.03766,0.08704,0.54003
35,-0.03749,0.08694,0.54012
36,-0.03766,0.08704,0.54003
37,-0.03765,0.08681,0.53999
38,-0.03766,0.08728,0.54138
39,-0.03776,0.08717,0.54022
40,-0.03766,0.08704,0.54003
41,-0.03788,0.08701,0.54058
42,-0.03776,0.08717,0.54022
43,-0.03787,0.0875,0.54104
44,-0.03766,0.08704,0.54003
45,-0.0378,0.08709,0.5404
46,-0.0378,0.08709,0.5404
47,-0.03822,0.08782,0.54184
48,-0.03766,0.08704,0.54003
49,-0.0379,0.08724,0.54062
50,-0.0378,0.08709,0.5404
51,-0.03766,0.08704,0.54003
52,-0.0378,0.08709,0.5404
53,-0.03795,0.08739,0.54124
54,-0.03807,0.08776,0.54145
55,-0.03822,0.08782,0.54184
56,-0.03788,0.08735,0.54025
57,-0.03767,0.08727,0.54045
58,-0.03757,0.08713,0.54023
59,-0.03769,0.0875,0.54051
60,-0.03769,0.0875,0.54051
61,-0.03759,0.08736,0.54027
62,-0.03769,0.0875,0.54051
63,-0.03769,0.0875,0.54051
64,-0.03769,0.0875,0.54051
65,-0.03767,0.08727,0.54045
66,-0.03767,0.08727,0.54045
67,-0.03783,0.08756,0.54088
68,-0.03787,0.08835,0.54258
69,-0.03765,0.0874,0.54011
70,-0.03788,0.08735,0.54025
71,-0.03772,0.08802,0.54169
72,-0.03785,0.08785,0.54115
73,-0.03809,0.08803,0.54174
74,-0.03798,0.08786,0.54174
75,-0.03758,0.08798,0.54134
