,x,y,z
0,-0.0406,0.13047,0.56932
1,-0.03756,0.12197,0.54368
2,-0.04087,0.12871,0.56548
3,-0.05921,0.09829,0.54552
4,-0.03604,0.06034,0.53945
5,-0.03308,0.057,0.53882
6,-0.02975,0.03791,0.53692
7,-0.03672,0.04163,0.53857
8,-0.06764,0.04973,0.53681
9,0.00837,-0.08248,0.52985
10,0.00601,-0.09315,0.5293
11,0.01457,-0.09421,0.52854
12,-0.0077,-0.08367,0.52836
13,-0.00772,-0.0727,0.52887
14,-0.02003,-0.05792,0.5286
15,-0.07615,-0.05068,0.53264
16,-0.08175,-0.03562,0.53392
17,-0.09178,-0.02628,0.53399
18,-0.07646,-0.01925,0.53457
19,-0.05666,-0.01737,0.53585
20,-0.04355,-0.01113,0.53407
21,-0.04253,-0.00987,0.53452
22,-0.04485,-0.00986,0.53475
23,-0.05102,-0.01022,0.53604
24,-0.05023,-0.01099,0.53503
25,-0.05109,-0.00994,0.53568
26,-0.05114,-0.01107,0.53533
27,-0.05106,-0.01097,0.53651
28,-0.0486,-0.01151,0.53696
29,-0.04972,-0.01118,0.53657
30,-0.04672,-0.01321,0.53532
31,-0.04582,-0.01353,0.53588
32,-0.04849,-0.01331,0.5354
33,-0.05724,-0.0119,0.53582
34,-0.05519,-0.01199,0.53458
35,-0.05378,-0.01211,0.5358
36,-0.05363,-0.01165,0.53547
37,-0.05449,-0.01193,0.53596
38,-0.05449,-0.01193,0.53596
39,-0.05483,-0.01218,0.53423
40,-0.05503,-0.01174,0.53495
41,-0.05507,-0.01193,0.53534
42,-0.05518,-0.01125,0.53612
43,-0.0548,-0.01165,0.53561
44,-0.05441,-0.01125,0.53484
45,-0.0549,-0.01134,0.53487
46,-0.05483,-0.01103,0.53432
47,-0.0549,-0.01098,0.5357
