,x,y,z
0,-0.03285,0.09348,0.57556
1,-0.03268,0.09363,0.57589
2,-0.03306,0.0934,0.57635
3,-0.0326,0.09371,0.57626
4,-0.03275,0.09379,0.57567
5,-0.03267,0.09387,0.57607
6,-0.03253,0.09352,0.57511
7,-0.03276,0.09356,0.57551
8,-0.03276,0.09356,0.57551
9,-0.03268,0.09363,0.57589
10,-0.03267,0.09387,0.57607
11,-0.03267,0.09387,0.57607
12,-0.03294,0.09341,0.57517
13,-0.03245,0.09369,0.57446
14,-0.03268,0.09363,0.57589
15,-0.03275,0.09379,0.57567
16,-0.03298,0.09347,0.57669
17,-0.03276,0.09356,0.57551
18,-0.03276,0.09356,0.57551
19,-0.03267,0.09387,0.57607
20,-0.03245,0.09369,0.57446
21,-0.03276,0.09356,0.57551
22,-0.03268,0.09363,0.57589
23,-0.03267,0.09387,0.57607
24,-0.03268,0.09363,0.57589
25,-0.03306,0.09389,0.57684
26,-0.0327,0.09374,0.5745
27,-0.03275,0.09379,0.57567
28,-0.03275,0.09379,0.57567
29,-0.03276,0.09356,0.57551
30,-0.0327,0.09374,0.5745
31,-0.03297,0.09379,0.57817
32,-0.03285,0.09385,0.57528
33,-0.03284,0.09372,0.57525
34,-0.03268,0.09363,0.57589
35,-0.03267,0.09387,0.57607
36,-0.03297,0.0942,0.5774
37,-0.03285,0.09385,0.57528
38,-0.03276,0.09356,0.57551
39,-0.03306,0.09389,0.57684
40,-0.03261,0.09368,0.57491
41,-0.03306,0.09389,0.57684
42,-0.03306,0.09389,0.57684
43,-0.03285,0.09385,0.57528
44,-0.03284,0.09402,0.57391
45,-0.03285,0.09397,0.57553
46,-0.03276,0.09427,0.5761
47,-0.03276,0.09404,0.57595
48,-0.03285,0.09411,0.57556
49,-0.03258,0.09419,0.5763
50,-0.03306,0.09402,0.57636
51,-0.03287,0.09428,0.57734
52,-0.03315,0.09395,0.5764
53,-0.03298,0.0941,0.5767
54,-0.03285,0.09434,0.57574
55,-0.03276,0.0942,0.57453
56,-0.03243,0.09431,0.57569
57,-0.03285,0.09411,0.57556
58,-0.03268,0.09426,0.5759
59,-0.03315,0.09444,0.57688
60,-0.03268,0.09426,0.5759
61,-0.03267,0.09424,0.57579
62,-0.03305,0.09413,0.57702
63,-0.03298,0.0941,0.5767
64,-0.03287,0.09409,0.57826
65,-0.03276,0.09418,0.57552
66,-0.03276,0.09442,0.57568
67,-0.03276,0.09418,0.57552
68,-0.03306,0.09426,0.57656
69,-0.03277,0.09431,0.57545
70,-0.03314,0.09444,0.57647
71,-0.03276,0.09442,0.57568
72,-0.03285,0.09434,0.57574
73,-0.03302,0.09426,0.57341
74,-0.03306,0.09404,0.57648
75,-0.03293,0.09426,0.57534
76,-0.03276,0.09442,0.57568
77,-0.03317,0.09444,0.57574
78,-0.03276,0.09442,0.57568
79,-0.03306,0.09452,0.57685
80,-0.03315,0.09418,0.5766
81,-0.03284,0.09413,0.57408
82,-0.03276,0.09442,0.57568
83,-0.03267,0.09449,0.57608
84,-0.03294,0.09433,0.57379
85,-0.03323,0.09453,0.57554
86,-0.03288,0.09417,0.57665
87,-0.03285,0.09448,0.57529
88,-0.03316,0.09433,0.57619
89,-0.03285,0.09448,0.57529
90,-0.03276,0.09442,0.57568
91,-0.03276,0.09442,0.57568
92,-0.03276,0.09442,0.57568
93,-0.03314,0.09444,0.57647
94,-0.03324,0.09443,0.57489
95,-0.03324,0.09443,0.57489
96,-0.03307,0.09464,0.57673
97,-0.03277,0.09455,0.57566
98,-0.03306,0.09452,0.57685
99,-0.03315,0.09457,0.57641
100,-0.03315,0.09438,0.57534
101,-0.03336,0.09461,0.57799
102,-0.03294,0.09433,0.57379
103,-0.03324,0.09426,0.57586
104,-0.03276,0.09418,0.57552
105,-0.03306,0.09452,0.57685
106,-0.03298,0.09472,0.57672
107,-0.03268,0.09463,0.57561
108,-0.03276,0.09442,0.57568
109,-0.03293,0.0944,0.57491
110,-0.03276,0.09442,0.57568
111,-0.03315,0.09457,0.57641
112,-0.03276,0.09442,0.57568
113,-0.03323,0.09466,0.57509
114,-0.03315,0.09457,0.57641
115,-0.03285,0.09448,0.57529
116,-0.03314,0.09444,0.57647
117,-0.03315,0.09475,0.57507
118,-0.03267,0.09474,0.57589
119,-0.03285,0.09427,0.57419
120,-0.03354,0.09452,0.57594
121,-0.03286,0.09466,0.57403
122,-0.03306,0.09452,0.57685
123,-0.03306,0.09445,0.5753
124,-0.03332,0.09484,0.57499
125,-0.03276,0.09455,0.57523
